City,County,State,0,0
Broomfield,Broomfield,CO,"6,845,862",
Colorado Springs,El Paso,CO,"33,392,451",
Colorado Springs,El Paso,CO,"33,392,451",
Colorado Springs,El Paso,CO,"33,392,451",
Denver,Denver,CO,"72,850,983",
Littleton,Arapahoe,CO,"27,509,931",
Littleton,Arapahoe,CO,"6,845,862",
Louisville,Boulder,CO,"27,509,931",
Westminster,Adams,CO,"26,546,174",
Alachua,Alachua,FL,"12,914,477",
Altamonte Springs,Seminole,FL,"20,654,326",
Altamonte Springs,Seminole,FL,"20,654,326",
Apopka,Orange FL,FL,"90,245,169",
Apopka,Orange FL,FL,"90,245,169",
Arcadia,DeSoto,FL,"1,014,538",
Auburndale,Polk,FL,"24,837,880",
Auburndale,Polk,FL,"24,837,880",
Ave Maria,Miami-Dade,FL,"151,587,328",
Barefoot Bay,Brevard,FL,"668,271",
Bartow,Polk,FL,"24,837,880",
Bay Lake,Orange FL,FL,"90,245,169",
Belleview,Marion,FL,"9,331,478",
Boca Grande,Charlotte,FL,"4,952,728",
Boca Raton,Palm Beach,FL,"75,635,325",
Bonita Springs,Lee,FL,"28,207,575",
Bonita Springs,Lee,FL,"28,207,575",
Bonita Springs,Lee,FL,"28,207,575",
Bowling Green,Hardee,FL,"1,023,242",
Bowling Green,Hardee,FL,"1,023,242",
Bradenton,Manatee,FL,"13,354,224",
Bradenton,Manatee,FL,"9,331,478",
Bradenton,Manatee,FL,"7,113,457",
Bradenton,Manatee,FL,"7,113,457",
Brooksville,Hernando,FL,"3,971,573",
Bunnell,Flagler,FL,"2,221,979",
Bushnell,Sumter,FL,"2,690,053",
Cantonment,Escambia,FL,"14,931,928",
Cape Coral,Lee,FL,"28,207,575",
Cape Coral,Lee,FL,"28,207,575",
Captiva,Lee,FL,"28,207,575",
Carrabelle,Franklin,FL,"381,839",
Casselberry,Seminole,FL,"20,654,326",
Cedar Key,Levy,FL,"933,042",
Clearwater,Pinellas,FL,"47,873,967",
Clearwater,Pinellas,FL,"47,873,967",
Clearwater,Pinellas,FL,"47,873,967",
Clearwater,Pinellas,FL,"47,873,967",
Clermont,Lake,FL,"8,468,770",
Cocoa Beach,Brevard,FL,"668,271",
Cocoa Beach,Brevard,FL,"668,271",
Dade City,Pasco,FL,"11,638,076",
Davenport,Polk,FL,"24,837,880",
Daytona Beach,Volusia,FL,"17,063,419",
Daytona Beach,Volusia,FL,"17,063,419",
Debary,Volusia,FL,"17,063,419",
Deland,Volusia,FL,"17,063,419",
Delray Beach,Palm Beach,FL,"75,635,325",
Deltona,Volusia,FL,"17,063,419",
Deltona,Volusia,FL,"17,063,419",
Destin,Okaloosa,FL,"11,156,453",
Destin,Okaloosa,FL,"11,156,453",
Duck Key,Monroe,FL,"4,523,546",
Dunedin,Pinellas,FL,"47,873,967",
Edgewater,Volusia,FL,"17,063,419",
Elkton,St Johns,FL,"7,778,133",
Eustis,Lake,FL,"8,468,770",
Eustis,Lake,FL,"8,468,770",
Everglades City,Collier,FL,"16,351,772",
Fernandina Beach,Nassau,FL,"2,397,438",
Fort Meade,Polk,FL,"24,837,880",
Fort Myers,Lee,FL,"28,207,575",
Fort Myers,Lee,FL,"28,207,575",
Fort Myers,Lee,FL,"28,207,575",
Fort Myers,Lee,FL,"28,207,575",
Fort Myers,Lee,FL,"28,207,575",
Fort Myers,Lee,FL,"28,207,575",
Fort Myers,Lee,FL,"28,207,575",
Fort Myers,Lee,FL,"28,207,575",
Fort Pierce,St Lucie,FL,"8,431,479",
Fort Walton Beach,Okaloosa,FL,"11,156,453",
Fruitland,Sarasota,FL,"18,382,610",
Ft Pierce,St Lucie,FL,"8,431,479",
Ft. Myers Beach,Lee,FL,"28,207,575",
Ft. Pierce,St Lucie,FL,"8,431,479",
Ft. Pierce,St Lucie,FL,"8,431,479",
Ft. Walton Bch.,Okaloosa,FL,"11,156,453",
Ft.Pierce,St Lucie,FL,"8,431,479",
Gainesville,Alachua,FL,"963,255,865",
Gainesville,Alachua,FL,"963,255,865",
Gainesville,Alachua,FL,"963,255,865",
Green Cove Springs,Clay,FL,"4,858,684",
Groveland,Lake,FL,"8,468,770",
Gulf Breeze,Santa Rosa,FL,"4,137,020",
Haines City,Polk,FL,"24,837,880",
Havana,Gadsden,FL,"1,276,171",
Hobe Sound,Martin,FL,"7,113,457",
Holly Hill,Volusia,FL,"17,063,419",
Hollywood,Broward,FL,"99,909,302",
Hollywood,Broward,FL,"99,909,302",
Hollywood,Broward,FL,"99,909,302",
Hutchinson Island,St Lucie,FL,"8,431,479",
Indiantown,Martin,FL,"7,113,457",
Indiantown,Martin,FL,"7,113,457",
Innlet Beach,South Walton,FL,"2,775,045",
Inverness,Citrus,FL,"3,879,314",
